Date,WKM,BEN,NI_daily_charge,SI_daily_charge,NI_profile_factor,SI_profile_factor,Version,Created_By
01/01/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2021,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2022,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2022,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2022,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2022,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2022,220.26,215.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2022,173.94,164.33,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2022,107.74,107.29,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2022,52.93,48.67,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2022,63.19,58.74,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2022,81.07,75.10,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2022,51.80,39.69,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2022,28.36,23.37,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2023,121.95,119.42,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2023,150.68,149.48,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2023,156.48,140.85,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2023,101.17,89.21,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2023,74.41,64.14,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2023,100.04,79.10,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2023,123.43,118.15,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2023,150.14,140.06,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2023,129.74,117.53,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2023,135.22,116.30,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2023,155.14,137.16,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2023,184.58,177.44,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2024,201.36,190.92,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2024,164.85,140.93,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2024,217.86,229.90,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2024,233.73,225.23,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2024,303.90,299.37,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2024,262.02,276.03,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2024,352.74,386.44,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2024,445.68,493.76,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2024,140.30,149.77,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2024,190.00,188.32,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2024,209.58,208.28,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2024,187.83,182.58,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2025,212.92,210.13,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2025,255.04,238.45,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2025,276.57,257.26,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2025,266.53,251.71,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2025,293.42,277.78,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2025,327.05,308.34,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2025,325.67,308.56,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2025,307.94,290.64,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2025,224.83,214.10,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2025,152.68,131.54,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2025,136.64,117.24,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2025,118.53,101.04,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2026,129.12,108.47,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2026,156.29,130.97,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2026,158.79,133.78,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2026,178.50,150.02,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2026,199.82,171.09,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2026,224.22,193.46,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2026,223.59,192.06,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2026,212.50,186.76,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2026,154.17,137.15,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2026,123.22,103.87,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2026,108.29,90.29,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2026,93.05,76.07,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2027,115.65,96.07,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2027,140.84,119.49,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2027,144.24,121.84,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2027,163.33,135.33,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2027,183.56,154.40,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2027,206.87,178.85,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2027,207.00,177.70,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2027,200.60,170.45,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2027,143.87,120.11,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2027,110.77,91.88,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2027,98.56,80.82,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2027,82.98,67.42,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2028,107.15,87.22,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2028,134.26,108.36,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2028,138.18,111.07,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2028,154.24,126.94,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2028,174.64,146.08,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2028,197.49,168.74,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2028,197.24,169.06,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2028,191.29,162.07,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2028,135.66,111.82,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2028,106.22,83.94,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2028,92.75,72.74,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2028,77.22,60.35,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2029,101.42,82.40,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2029,127.25,103.64,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2029,130.36,105.79,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2029,150.31,127.91,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2029,168.40,142.65,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2029,193.31,165.96,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2029,193.78,165.98,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2029,188.49,158.11,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2029,133.18,109.62,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2029,101.83,81.59,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2029,89.52,69.71,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2029,74.62,56.49,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2030,100.12,82.30,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2030,127.06,103.49,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2030,130.00,106.00,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2030,147.50,126.61,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2030,167.08,143.57,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2030,189.69,166.57,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2030,190.05,164.48,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2030,184.14,158.54,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2030,130.69,108.41,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/10/2030,100.46,83.40,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/11/2030,86.87,71.29,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/12/2030,72.53,58.64,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/01/2031,105.99,89.36,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/02/2031,132.27,110.39,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/03/2031,135.81,112.22,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/04/2031,153.13,129.20,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/05/2031,172.96,146.65,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/06/2031,195.89,169.57,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/07/2031,195.22,167.22,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/08/2031,190.09,160.65,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
01/09/2031,129.75,115.20,2.50,3.50,0.50,0.40,20240918235900,Andres Arguelles
